Election,Scottish STV - Losing Voter Bloc Anomaly,Scottish STV - Removed Loser Ballots,Scottish STV - Winning Voter Bloc Anomaly,Scottish STV - Removed Winner Ballots,AQ STV - Losing Voter Bloc Anomaly,AQ STV - Removed Loser Ballots,AQ STV - Winning Voter Bloc Anomaly,AQ STV - Removed Winner Ballots,Meek STV - Losing Voter Bloc Anomaly,Meek STV - Removed Loser Ballots,Meek STV - Winning Voter Bloc Anomaly,Meek STV - Removed Winner Ballots,Chamberlin-Courant - Losing Voter Bloc Anomaly,Chamberlin-Courant - Removed Loser Ballots,Chamberlin-Courant - Winning Voter Bloc Anomaly,Chamberlin-Courant - Removed Winner Ballots,Greedy Chamberlin-Courant - Losing Voter Bloc Anomaly,Greedy Chamberlin-Courant - Removed Loser Ballots,Greedy Chamberlin-Courant - Winning Voter Bloc Anomaly,Greedy Chamberlin-Courant - Removed Winner Ballots,Expanding Approvals - Losing Voter Bloc Anomaly,Expanding Approvals - Removed Loser Ballots,Expanding Approvals - Winning Voter Bloc Anomaly,Expanding Approvals - Removed Winner Ballots
aberdeenshire_2012_ward18.csv,"[1, 4, 2, 8]","{(10,): 36.0, (10, 5, 6): 0.8, (10, 6): 2.4000000000000004, (10, 6, 5): 0.8, (10, 7): 1.6, (10, 7, 6): 0.8, (10, 7, 6, 5): 0.8, (10, 9): 4.0, (10, 9, 6): 0.8, (5,): 8.8, (5, 6): 2.4000000000000004, (5, 6, 10): 0.8, (5, 7): 0.8, (5, 9): 1.6, (6,): 13.600000000000001, (6, 10): 0.8, (6, 10, 9): 0.8, (6, 5): 0.8, (6, 7): 2.4000000000000004, (6, 7, 9): 0.8, (6, 9, 10): 0.8, (7,): 11.200000000000001, (7, 10): 1.6, (7, 10, 6): 0.8, (7, 10, 6, 5): 0.8, (7, 5, 6): 0.8, (7, 6): 0.8, (7, 6, 10, 5): 0.8, (7, 6, 5): 0.8, (7, 9): 2.4000000000000004, (9,): 18.400000000000002, (9, 10): 3.2, (9, 5): 1.6, (9, 6): 0.8, (9, 6, 7): 0.8, (9, 7): 4.0, (9, 7, 6): 0.8}",,,"[1, 4, 2, 8]","{(10,): 27.0, (10, 5, 6): 0.6, (10, 6): 1.7999999999999998, (10, 6, 5): 0.6, (10, 7): 1.2, (10, 7, 6): 0.6, (10, 7, 6, 5): 0.6, (10, 9): 3.0, (10, 9, 6): 0.6, (5,): 6.6, (5, 6): 1.7999999999999998, (5, 6, 10): 0.6, (5, 7): 0.6, (5, 9): 1.2, (6,): 10.2, (6, 10): 0.6, (6, 10, 9): 0.6, (6, 5): 0.6, (6, 7): 1.7999999999999998, (6, 7, 9): 0.6, (6, 9, 10): 0.6, (7,): 8.4, (7, 10): 1.2, (7, 10, 6): 0.6, (7, 10, 6, 5): 0.6, (7, 5, 6): 0.6, (7, 6): 0.6, (7, 6, 10, 5): 0.6, (7, 6, 5): 0.6, (7, 9): 1.7999999999999998, (9,): 13.799999999999999, (9, 10): 2.4, (9, 5): 1.2, (9, 6): 0.6, (9, 6, 7): 0.6, (9, 7): 3.0, (9, 7, 6): 0.6}",,,"[1, 4, 2, 8]","{(10,): 18.0, (10, 3): 2.4000000000000004, (10, 3, 9): 0.4, (10, 5, 3): 0.4, (10, 5, 6): 0.4, (10, 6): 1.2000000000000002, (10, 6, 3): 0.8, (10, 6, 5): 0.4, (10, 9): 2.0, (10, 9, 3): 0.4, (10, 9, 6): 0.4, (3,): 33.6, (3, 10): 8.4, (3, 10, 5): 0.4, (3, 10, 6): 0.4, (3, 10, 9): 1.6, (3, 5): 1.6, (3, 5, 9, 10): 0.4, (3, 6): 2.4000000000000004, (3, 6, 10): 1.2000000000000002, (3, 6, 10, 9): 0.4, (3, 6, 5): 0.4, (3, 6, 9): 1.2000000000000002, (3, 9): 2.4000000000000004, (3, 9, 10): 2.0, (3, 9, 5): 0.4, (5,): 4.4, (5, 3): 2.0, (5, 6): 1.2000000000000002, (5, 6, 10): 0.4, (5, 9): 0.8, (6,): 6.800000000000001, (6, 10): 0.4, (6, 10, 9): 0.4, (6, 3): 1.2000000000000002, (6, 3, 10): 0.8, (6, 3, 9): 0.4, (6, 5): 0.4, (6, 9, 10): 0.4, (9,): 9.200000000000001, (9, 10): 1.6, (9, 10, 3, 6): 0.4, (9, 3): 0.8, (9, 3, 6): 0.4, (9, 5): 0.8, (9, 6): 0.4, (9, 6, 3): 0.4, (9, 6, 3, 10): 0.4}",,,,,,,,,,,,,,
aberdeenshire_2012_ward3.csv,,,,,,,"[9, 2, 7, 4]","{(9,): 53.0}",,,,,,,"[1, 7, 9, 10]","{(2,): 35.0}",,,,,"[9, 2, 7, 10]","{(1,): 28.8, (1, 3): 0.8, (1, 3, 6): 3.2, (1, 3, 8): 1.6, (1, 5): 1.6, (1, 5, 8): 0.8, (1, 6): 3.2, (1, 6, 3): 1.6, (1, 6, 5): 1.6, (1, 6, 8): 2.4000000000000004, (1, 8): 1.6, (1, 8, 3): 1.6, (1, 8, 5): 0.8, (3,): 9.600000000000001, (3, 1): 0.8, (3, 5): 0.8, (3, 8, 1): 1.6, (5,): 4.0, (5, 1, 8): 0.8, (5, 3, 1): 0.8, (6,): 40.0, (6, 1): 7.2, (6, 1, 3): 0.8, (6, 1, 8): 0.8, (6, 3): 3.2, (6, 8): 0.8, (6, 8, 1): 3.2, (6, 8, 1, 3): 0.8, (8,): 40.800000000000004, (8, 1): 8.0, (8, 1, 3): 0.8, (8, 1, 5): 0.8, (8, 6): 0.8, (8, 6, 1): 3.2, (8, 6, 5): 0.8}","[9, 2, 7, 10]","{(2,): 35.0, (2, 7): 7.0, (7,): 71.0, (7, 2): 8.0}"
aberdeenshire_2017_ward3.csv,,,,,,,,,,,,,,,,,,,"[5, 8, 4, 2]","{(2,): 35.0, (2, 4): 2.0, (4,): 346.0, (4, 2): 3.0}",,,"[5, 2, 4, 8]","{(4,): 346.0}"
aberdeenshire_2022_ward4.csv,"[8, 9, 5, 7]","{(10, 4, 2): 0.6, (2, 10, 1): 0.3, (4, 6, 1): 0.3, (4, 6): 1.2, (4, 10, 6): 0.3, (1,): 3.5999999999999996, (4, 2, 6): 0.3, (2, 4): 0.8999999999999999, (2, 6): 0.6, (2,): 5.7, (10, 6): 1.2, (10,): 20.4, (1, 2): 0.6, (4, 2): 0.3, (2, 4, 6): 0.3, (1, 4): 0.6, (6, 10, 4): 0.3, (4,): 12.6, (2, 10): 2.1, (6, 10): 0.6, (10, 4): 1.7999999999999998, (1, 6, 10): 0.8999999999999999, (1, 4, 10): 0.3, (4, 1): 1.2, (6, 2, 10): 0.6, (10, 6, 2): 0.3, (4, 10, 2): 0.3, (4, 10): 3.0, (10, 2): 0.3, (6, 4): 0.3, (6,): 1.7999999999999998, (4, 1, 10): 0.3, (6, 2, 1): 0.3, (1, 10, 2): 0.3, (4, 2, 1): 0.3, (6, 1, 10): 0.3, (10, 1, 4): 0.3, (6, 2): 0.6, (1, 4, 2): 0.3, (10, 1): 1.2, (2, 1): 0.3, (10, 4, 1): 0.3}",,,"[8, 9, 5, 7]","{(4, 3): 0.2, (10, 4, 2): 0.2, (2, 10, 1): 0.1, (4, 6, 1): 0.1, (10, 2, 3): 0.2, (4, 6): 0.4, (4, 10, 6): 0.1, (6, 3, 4): 0.1, (6, 10, 3): 0.1, (6, 3, 10): 0.1, (10, 3, 1): 0.2, (3, 2): 0.5, (1,): 1.2000000000000002, (4, 2, 6): 0.1, (2, 4): 0.30000000000000004, (2, 6): 0.2, (2,): 1.9000000000000001, (10, 6): 0.4, (10, 3): 0.2, (10,): 6.800000000000001, (3, 2, 10): 0.1, (1, 2): 0.2, (4, 2): 0.1, (2, 4, 6): 0.1, (1, 4): 0.2, (6, 10, 4): 0.1, (4,): 4.2, (2, 10): 0.7000000000000001, (6, 10): 0.2, (2, 3): 0.30000000000000004, (10, 4): 0.6000000000000001, (1, 6, 10): 0.30000000000000004, (1, 4, 10): 0.1, (4, 1): 0.4, (6, 2, 10): 0.2, (10, 6, 2): 0.1, (4, 3, 6, 10): 0.1, (2, 3, 10): 0.2, (6, 3): 0.1, (4, 10, 2): 0.1, (4, 3, 1): 0.1, (4, 10): 1.0, (3, 1, 4): 0.1, (1, 2, 3): 0.1, (10, 2): 0.1, (10, 1, 3): 0.1, (6, 4): 0.1, (6,): 0.6000000000000001, (4, 1, 10): 0.1, (3,): 3.6, (3, 1, 2): 0.2, (6, 2, 1): 0.1, (4, 6, 3, 10): 0.1, (1, 10, 2): 0.1, (4, 2, 1): 0.1, (3, 10): 0.1, (6, 1, 10): 0.1, (3, 1): 0.1, (10, 1, 4): 0.1, (6, 2): 0.2, (1, 4, 2): 0.1, (10, 1): 0.4, (2, 1, 3): 0.1, (2, 1): 0.1, (10, 4, 1): 0.1}","[8, 9, 5, 3]","{(8,): 53.0}",,,"[5, 8, 9, 3]","{(8,): 53.0, (9,): 69.0, (8, 9): 8.0, (9, 8): 10.0}",,,,,,,,,,,"[8, 5, 9, 7]","{(5,): 42.0, (5, 9): 6.0, (9,): 69.0, (9, 5): 7.0}"
aberdeen_2017_ward12.csv,,,,,"[3, 1, 2, 5]","{(10,): 0.2, (10, 4, 7): 0.1, (10, 4, 7, 8): 0.1, (10, 6): 0.1, (10, 7, 8): 0.1, (4,): 10.5, (4, 6): 1.4000000000000001, (4, 6, 10): 0.1, (4, 6, 7): 0.1, (4, 6, 8): 0.5, (4, 6, 8, 9): 0.2, (4, 6, 9): 0.4, (4, 6, 9, 8): 0.2, (4, 7): 0.5, (4, 7, 10): 0.30000000000000004, (4, 7, 6): 0.2, (4, 7, 8): 0.2, (4, 7, 8, 6): 0.1, (4, 8): 3.5, (4, 8, 10): 0.1, (4, 8, 6): 0.5, (4, 8, 7): 0.1, (4, 8, 9): 0.2, (4, 9): 0.2, (4, 9, 6): 0.1, (4, 9, 8): 0.2, (4, 9, 8, 6): 0.1, (6,): 4.3, (6, 4): 1.2000000000000002, (6, 4, 8): 0.7000000000000001, (6, 4, 8, 9): 0.2, (6, 4, 9): 0.2, (6, 8): 1.1, (6, 8, 4): 0.30000000000000004, (6, 8, 9): 0.30000000000000004, (6, 9): 0.1, (6, 9, 4): 0.2, (7,): 0.9, (7, 10): 0.1, (7, 6): 0.1, (7, 8, 10): 0.1, (8,): 2.9000000000000004, (8, 4): 1.1, (8, 4, 6): 0.5, (8, 4, 7): 0.1, (8, 4, 9): 0.30000000000000004, (8, 6, 4): 0.7000000000000001, (8, 6, 7): 0.1, (8, 6, 9): 0.1, (8, 6, 9, 4): 0.1, (8, 7, 10): 0.1, (8, 9): 0.1, (8, 9, 4): 0.1, (8, 9, 6): 0.2, (9,): 6.0, (9, 10): 0.2, (9, 4): 0.6000000000000001, (9, 4, 6): 0.1, (9, 4, 7): 0.2, (9, 4, 8): 0.2, (9, 6): 0.5, (9, 6, 4): 0.1, (9, 6, 8): 0.1, (9, 7): 0.1, (9, 8): 0.1, (9, 8, 4): 0.1, (9, 8, 6): 0.30000000000000004}",,,,,,,,,,,,,,,,,,
aberdeen_2022_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_2022_ward6.csv,,,,,,,,,,,,,,,,,,,,,,,,
angus_2022_ward6.csv,,,"[6, 2, 10, 9]","{(8,): 30.0, (2,): 50.0, (2, 8): 425.0, (8, 2): 261.0}",,,,,,,"[2, 6, 8, 9]","{(2,): 50.0}",,,,,,,,,,,,
argyll_bute_2012_ward5.csv,"[9, 2, 4, 7]","{(1,): 1.7000000000000002, (1, 10): 0.2, (1, 10, 8, 6): 0.1, (1, 8, 10): 0.1, (10,): 7.4, (10, 1): 0.2, (10, 1, 5, 8): 0.1, (10, 1, 6, 8): 0.1, (10, 1, 8): 0.1, (10, 5): 0.2, (10, 5, 1): 0.1, (10, 5, 8): 0.1, (10, 5, 8, 6, 1): 0.1, (10, 6): 0.30000000000000004, (10, 6, 5): 0.1, (10, 8): 1.2000000000000002, (10, 8, 5): 0.2, (5,): 1.7000000000000002, (5, 10): 0.1, (5, 10, 1): 0.1, (5, 10, 8): 0.2, (5, 6): 0.1, (5, 6, 1): 0.1, (5, 6, 8, 10): 0.1, (5, 8): 0.2, (5, 8, 1): 0.1, (6,): 1.0, (6, 10): 0.2, (6, 10, 1): 0.1, (6, 8, 10): 0.1, (8,): 2.5, (8, 1): 0.2, (8, 1, 10): 0.1, (8, 10): 0.4, (8, 5): 0.30000000000000004, (8, 5, 1): 0.2, (8, 6): 0.4}","[9, 2, 4, 7]","{(9,): 73.0}",,,,,,,,,,,,,,,,,,,,
argyll_bute_2017_ward5.csv,,,,,"[8, 10, 2, 4]","{(1,): 0.8, (1, 3, 5): 0.1, (1, 6): 0.4, (1, 7, 9): 0.1, (3,): 2.4000000000000004, (3, 1): 0.1, (3, 1, 5): 0.1, (3, 1, 5, 7): 0.1, (3, 5): 0.1, (3, 5, 6): 0.1, (3, 5, 7): 0.6000000000000001, (3, 5, 7, 9): 0.1, (3, 7): 0.1, (3, 7, 6): 0.1, (3, 9): 0.1, (5,): 1.0, (5, 1, 6): 0.1, (5, 3, 1): 0.2, (5, 3, 6): 0.1, (5, 3, 6, 9, 1): 0.1, (5, 3, 7): 0.1, (5, 3, 7, 6): 0.1, (5, 3, 9): 0.1, (5, 7, 1): 0.1, (6,): 3.6, (6, 1): 0.30000000000000004, (6, 1, 5, 3): 0.1, (6, 1, 7): 0.2, (6, 3): 0.2, (6, 3, 7): 0.1, (6, 5): 0.2, (6, 7): 0.2, (6, 7, 9): 0.1, (6, 9): 0.7000000000000001, (6, 9, 3): 0.2, (7,): 2.1, (7, 1): 0.1, (7, 1, 3): 0.1, (7, 3): 0.1, (7, 3, 1): 0.1, (7, 3, 5): 0.1, (7, 5): 0.1, (7, 5, 1): 0.1, (7, 5, 3): 0.30000000000000004, (7, 6): 0.1, (7, 9): 0.1, (7, 9, 6): 0.1, (9,): 1.6, (9, 1): 0.1, (9, 3, 6): 0.1, (9, 3, 7): 0.1, (9, 5, 3): 0.1, (9, 6): 0.6000000000000001, (9, 7, 3): 0.1, (9, 7, 5): 0.2}",,,,,,,,,,,,,,,,,,
