Election,Scottish STV - Losing Voter Bloc Anomaly,Scottish STV - Removed Loser Ballots,Scottish STV - Losing Voter Bloc Original Winning Parties,Scottish STV - Losing Voter Bloc New Winning Parties,Scottish STV - Winning Voter Bloc Anomaly,Scottish STV - Removed Winner Ballots,Scottish STV - Winning Voter Bloc Original Winning Parties,Scottish STV - Winning Voter Bloc New Winning Parties,Scottish STV - Alt Winning Voter Bloc Anomaly,Scottish STV - Removed Alt Winner Ballots,Scottish STV - Alt Winning Voter Bloc Original Winning Parties,Scottish STV - Alt Winning Voter Bloc New Winning Parties,Meek STV - Losing Voter Bloc Anomaly,Meek STV - Removed Loser Ballots,Meek STV - Losing Voter Bloc Original Winning Parties,Meek STV - Losing Voter Bloc New Winning Parties,Meek STV - Winning Voter Bloc Anomaly,Meek STV - Removed Winner Ballots,Meek STV - Winning Voter Bloc Original Winning Parties,Meek STV - Winning Voter Bloc New Winning Parties,Meek STV - Alt Winning Voter Bloc Anomaly,Meek STV - Removed Alt Winner Ballots,Meek STV - Alt Winning Voter Bloc Original Winning Parties,Meek STV - Alt Winning Voter Bloc New Winning Parties,Chamberlin-Courant (OM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Loser Ballots,Chamberlin-Courant (OM) - Losing Voter Bloc Original Winning Parties,Chamberlin-Courant (OM) - Losing Voter Bloc New Winning Parties,Chamberlin-Courant (OM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Winner Ballots,Chamberlin-Courant (OM) - Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (OM) - Winning Voter Bloc New Winning Parties,Chamberlin-Courant (OM) - Alt Winning Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Alt Winner Ballots,Chamberlin-Courant (OM) - Alt Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (OM) - Alt Winning Voter Bloc New Winning Parties,Chamberlin-Courant (PM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Loser Ballots,Chamberlin-Courant (PM) - Losing Voter Bloc Original Winning Parties,Chamberlin-Courant (PM) - Losing Voter Bloc New Winning Parties,Chamberlin-Courant (PM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Winner Ballots,Chamberlin-Courant (PM) - Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (PM) - Winning Voter Bloc New Winning Parties,Chamberlin-Courant (PM) - Alt Winning Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Alt Winner Ballots,Chamberlin-Courant (PM) - Alt Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (PM) - Alt Winning Voter Bloc New Winning Parties,Expanding Approvals PM - Losing Voter Bloc Anomaly,Expanding Approvals PM - Removed Loser Ballots,Expanding Approvals PM - Losing Voter Bloc Original Winning Parties,Expanding Approvals PM - Losing Voter Bloc New Winning Parties,Expanding Approvals PM - Winning Voter Bloc Anomaly,Expanding Approvals PM - Removed Winner Ballots,Expanding Approvals PM - Winning Voter Bloc Original Winning Parties,Expanding Approvals PM - Winning Voter Bloc New Winning Parties,Expanding Approvals PM - Alt Winning Voter Bloc Anomaly,Expanding Approvals PM - Removed Alt Winner Ballots,Expanding Approvals PM - Alt Winning Voter Bloc Original Winning Parties,Expanding Approvals PM - Alt Winning Voter Bloc New Winning Parties,Expanding Approvals OM - Losing Voter Bloc Anomaly,Expanding Approvals OM - Removed Loser Ballots,Expanding Approvals OM - Losing Voter Bloc Original Winning Parties,Expanding Approvals OM - Losing Voter Bloc New Winning Parties,Expanding Approvals OM - Winning Voter Bloc Anomaly,Expanding Approvals OM - Removed Winner Ballots,Expanding Approvals OM - Winning Voter Bloc Original Winning Parties,Expanding Approvals OM - Winning Voter Bloc New Winning Parties,Expanding Approvals OM - Alt Winning Voter Bloc Anomaly,Expanding Approvals OM - Removed Alt Winner Ballots,Expanding Approvals OM - Alt Winning Voter Bloc Original Winning Parties,Expanding Approvals OM - Alt Winning Voter Bloc New Winning Parties
aberdeenshire_2012_ward18.csv,"[1, 4, 2, 8]","{(10,): 45, (10, 5, 6): 1, (10, 6): 3, (10, 6, 5): 1, (10, 7): 2, (10, 7, 6): 1, (10, 7, 6, 5): 1, (10, 9): 5, (10, 9, 6): 1, (5,): 11, (5, 6): 3, (5, 6, 10): 1, (5, 7): 1, (5, 9): 2, (6,): 17, (6, 10): 1, (6, 10, 9): 1, (6, 5): 1, (6, 7): 3, (6, 7, 9): 1, (6, 9, 10): 1, (7,): 14, (7, 10): 2, (7, 10, 6): 1, (7, 10, 6, 5): 1, (7, 5, 6): 1, (7, 6): 1, (7, 6, 10, 5): 1, (7, 6, 5): 1, (7, 9): 3, (9,): 23, (9, 10): 4, (9, 5): 2, (9, 6): 1, (9, 6, 7): 1, (9, 7): 5, (9, 7, 6): 1}","['Con', 'LD', 'Lab', 'SNP']","['Con', 'Ind', 'LD', 'SNP']",,,,,,,,,"[1, 4, 2, 8]","{(10,): 22, (10, 3): 3, (10, 3, 9): 0, (10, 5, 3): 0, (10, 5, 6): 0, (10, 6): 1, (10, 6, 3): 1, (10, 6, 5): 0, (10, 9): 2, (10, 9, 3): 0, (10, 9, 6): 0, (3,): 42, (3, 10): 10, (3, 10, 5): 0, (3, 10, 6): 0, (3, 10, 9): 2, (3, 5): 2, (3, 5, 9, 10): 0, (3, 6): 3, (3, 6, 10): 1, (3, 6, 10, 9): 0, (3, 6, 5): 0, (3, 6, 9): 1, (3, 9): 3, (3, 9, 10): 2, (3, 9, 5): 0, (5,): 5, (5, 3): 2, (5, 6): 1, (5, 6, 10): 0, (5, 9): 1, (6,): 8, (6, 10): 0, (6, 10, 9): 0, (6, 3): 1, (6, 3, 10): 1, (6, 3, 9): 0, (6, 5): 0, (6, 9, 10): 0, (9,): 11, (9, 10): 2, (9, 10, 3, 6): 0, (9, 3): 1, (9, 3, 6): 0, (9, 5): 1, (9, 6): 0, (9, 6, 3): 0, (9, 6, 3, 10): 0}","['Con', 'Con', 'LD', 'SNP']","['Con', 'Ind', 'LD', 'SNP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 4, 2, 8]","{(10,): 45, (10, 3): 6, (10, 3, 9): 1, (10, 5, 3): 1, (10, 7): 2, (10, 9): 5, (10, 9, 3): 1, (3,): 84, (3, 10): 21, (3, 10, 5): 1, (3, 10, 9): 4, (3, 5): 4, (3, 5, 9, 10): 1, (3, 7): 3, (3, 9): 6, (3, 9, 10): 5, (3, 9, 5): 1, (3, 9, 7): 1, (5,): 11, (5, 3): 5, (5, 7): 1, (5, 9): 2, (7,): 14, (7, 10): 2, (7, 9): 3, (9,): 23, (9, 10): 4, (9, 3): 2, (9, 5): 2, (9, 7): 5, (9, 7, 3): 1}","['Con', 'Ind', 'LD', 'SNP']","['Con', 'Ind', 'LD', 'SNP']",,,,,,,,
aberdeenshire_2012_ward3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 7, 9, 10]","{(2,): 35}","['Ind', 'Ind', 'SNP', 'SNP']","['Ind', 'Ind', 'LD', 'SNP']",,,,,,,,,"[1, 7, 9, 10]","{(2,): 11}","['Ind', 'Ind', 'SNP', 'SNP']","['Ind', 'Ind', 'LD', 'SNP']",,,,,"[9, 2, 7, 10]","{(1,): 36, (1, 3): 1, (1, 3, 6): 4, (1, 3, 8): 2, (1, 5): 2, (1, 5, 8): 1, (1, 6): 4, (1, 6, 3): 2, (1, 6, 5): 2, (1, 6, 8): 3, (1, 8): 2, (1, 8, 3): 2, (1, 8, 5): 1, (3,): 12, (3, 1): 1, (3, 5): 1, (3, 8, 1): 2, (5,): 5, (5, 1, 8): 1, (5, 3, 1): 1, (6,): 50, (6, 1): 9, (6, 1, 3): 1, (6, 1, 8): 1, (6, 3): 4, (6, 8): 1, (6, 8, 1): 4, (6, 8, 1, 3): 1, (8,): 51, (8, 1): 10, (8, 1, 3): 1, (8, 1, 5): 1, (8, 6): 1, (8, 6, 1): 4, (8, 6, 5): 1}","['Ind', 'Ind', 'SNP', 'SNP']","['Ind', 'Ind', 'SNP', 'SNP']","[9, 2, 7, 10]","{(7,): 71}","['Ind', 'Ind', 'SNP', 'SNP']","['Ind', 'Ind', 'SNP', 'SNP']","[9, 2, 7, 10]","{(7,): 71}","['Ind', 'Ind', 'SNP', 'SNP']","['Ind', 'Ind', 'SNP', 'SNP']",,,,,,,,,,,,
aberdeenshire_2017_ward3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4, 2, 5, 8]","{(4,): 230}","['Con', 'Ind', 'Ind', 'SNP']","['Con', 'Ind', 'SNP', 'SNP']","[4, 2, 5, 8]","{(4,): 230}","['Con', 'Ind', 'Ind', 'SNP']","['Con', 'Ind', 'SNP', 'SNP']",,,,,,,,,,,,
aberdeenshire_2022_ward4.csv,"[8, 9, 5, 7]","{(10, 4, 2): 0, (2, 10, 1): 0, (4, 6, 1): 0, (4, 6): 1, (4, 10, 6): 0, (1,): 4, (4, 2, 6): 0, (2, 4): 1, (2, 6): 0, (2,): 7, (10, 6): 1, (10,): 27, (1, 2): 0, (4, 2): 0, (2, 4, 6): 0, (1, 4): 0, (6, 10, 4): 0, (4,): 16, (2, 10): 2, (6, 10): 0, (10, 4): 2, (1, 6, 10): 1, (1, 4, 10): 0, (4, 1): 1, (6, 2, 10): 0, (10, 6, 2): 0, (4, 10, 2): 0, (4, 10): 4, (10, 2): 0, (6, 4): 0, (6,): 2, (4, 1, 10): 0, (6, 2, 1): 0, (1, 10, 2): 0, (4, 2, 1): 0, (6, 1, 10): 0, (10, 1, 4): 0, (6, 2): 0, (1, 4, 2): 0, (10, 1): 1, (2, 1): 0, (10, 4, 1): 0}","['Con', 'LD', 'SNP', 'SNP']","['Con', 'Con', 'LD', 'SNP']",,,,,,,,,,,,,"[5, 8, 9, 3]","{(8,): 53, (9,): 69, (8, 9): 8, (9, 8): 10}","['Con', 'Con', 'LD', 'SNP']","['Con', 'LD', 'SNP', 'SNP']","[5, 8, 9, 3]","{(8,): 53, (9,): 69, (8, 9): 8, (9, 8): 10}","['Con', 'Con', 'LD', 'SNP']","['Con', 'LD', 'SNP', 'SNP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8, 5, 9, 7]","{(5,): 28, (5, 9): 4, (9,): 46, (9, 5): 4}","['Con', 'Ind', 'LD', 'SNP']","['Con', 'Con', 'LD', 'SNP']","[8, 5, 9, 7]","{(5,): 28, (5, 9): 4, (9,): 46, (9, 5): 4}","['Con', 'Ind', 'LD', 'SNP']","['Con', 'Con', 'LD', 'SNP']",,,,,"[8, 5, 9, 7]","{(5,): 14, (5, 9): 2, (9,): 23, (9, 5): 2}","['Con', 'LD', 'SNP', 'SNP']","['Con', 'Con', 'LD', 'SNP']","[8, 5, 9, 7]","{(5,): 14, (5, 9): 2, (9,): 23, (9, 5): 2}","['Con', 'LD', 'SNP', 'SNP']","['Con', 'Con', 'LD', 'SNP']"
aberdeen_2017_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_2022_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_2022_ward6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angus_2022_ward6.csv,,,,,"[6, 2, 10, 9]","{(8,): 30, (2,): 50, (2, 8): 425, (8, 2): 261}","['Con', 'Ind', 'SNP', 'SNP']","['Con', 'Con', 'Ind', 'SNP']",,,,,,,,,"[2, 6, 8, 9]","{(2,): 16}","['Con', 'Ind', 'SNP', 'SNP']","['Con', 'Con', 'SNP', 'SNP']","[2, 6, 8, 9]","{(2,): 16}","['Con', 'Ind', 'SNP', 'SNP']","['Con', 'Con', 'SNP', 'SNP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[6, 2, 9, 8]","{(2, 8, 6): 6, (8,): 30, (8, 6, 2): 1, (2, 6): 2, (2,): 50, (2, 6, 8): 3, (6, 2, 8): 2, (6,): 92, (2, 8): 425, (6, 8): 4, (6, 2): 3, (8, 2): 261, (8, 2, 6): 6}","['Con', 'Ind', 'SNP', 'SNP']","['Con', 'Con', 'SNP', 'SNP']","[6, 2, 9, 8]","{(2, 8, 6): 6, (8,): 30, (8, 6, 2): 1, (2, 6): 2, (2,): 50, (2, 6, 8): 3, (6, 2, 8): 2, (6,): 92, (2, 8): 425, (6, 8): 4, (6, 2): 3, (8, 2): 261, (8, 2, 6): 6}","['Con', 'Ind', 'SNP', 'SNP']","['Con', 'Con', 'SNP', 'SNP']"
argyll_bute_2012_ward5.csv,"[9, 2, 4, 7]","{(1,): 1, (1, 10): 0, (1, 10, 8, 6): 0, (1, 8, 10): 0, (10,): 7, (10, 1): 0, (10, 1, 5, 8): 0, (10, 1, 6, 8): 0, (10, 1, 8): 0, (10, 5): 0, (10, 5, 1): 0, (10, 5, 8): 0, (10, 5, 8, 6, 1): 0, (10, 6): 0, (10, 6, 5): 0, (10, 8): 1, (10, 8, 5): 0, (5,): 1, (5, 10): 0, (5, 10, 1): 0, (5, 10, 8): 0, (5, 6): 0, (5, 6, 1): 0, (5, 6, 8, 10): 0, (5, 8): 0, (5, 8, 1): 0, (6,): 1, (6, 10): 0, (6, 10, 1): 0, (6, 8, 10): 0, (8,): 2, (8, 1): 0, (8, 1, 10): 0, (8, 10): 0, (8, 5): 0, (8, 5, 1): 0, (8, 6): 0}","['Ind', 'Ind', 'Ind', 'SNP']","['Ind', 'Ind', 'SNP', 'SNP']","[9, 2, 4, 7]","{(9,): 24}","['Ind', 'Ind', 'Ind', 'SNP']","['Ind', 'Ind', 'SNP', 'SNP']","[9, 2, 4, 7]","{(9,): 24}","['Ind', 'Ind', 'Ind', 'SNP']","['Ind', 'Ind', 'SNP', 'SNP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argyll_bute_2017_ward5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8, 4, 10, 2]","{(2,): 34, (2, 4): 1, (2, 4, 8): 1, (2, 8): 32, (2, 8, 4): 1, (4,): 21, (4, 2): 2, (4, 2, 8): 0, (4, 8): 0, (4, 8, 2): 2, (8,): 60, (8, 2): 47, (8, 2, 4): 6, (8, 4): 6, (8, 4, 2): 3}","['Ind', 'Ind', 'SNP', 'SNP']","['Con', 'Ind', 'Ind', 'SNP']","[8, 4, 10, 2]","{(2,): 34, (2, 4): 1, (2, 4, 8): 1, (2, 8): 32, (2, 8, 4): 1, (4,): 21, (4, 2): 2, (4, 2, 8): 0, (4, 8): 0, (4, 8, 2): 2, (8,): 60, (8, 2): 47, (8, 2, 4): 6, (8, 4): 6, (8, 4, 2): 3}","['Ind', 'Ind', 'SNP', 'SNP']","['Con', 'Ind', 'Ind', 'SNP']"
