Election,Scottish STV - Losing Voter Bloc Anomaly,Scottish STV - Removed Loser Ballots,Scottish STV - Losing Voter Bloc Original Winning Parties,Scottish STV - Losing Voter Bloc New Winning Parties,Scottish STV - Winning Voter Bloc Anomaly,Scottish STV - Removed Winner Ballots,Scottish STV - Winning Voter Bloc Original Winning Parties,Scottish STV - Winning Voter Bloc New Winning Parties,Scottish STV - Alt Winning Voter Bloc Anomaly,Scottish STV - Removed Alt Winner Ballots,Scottish STV - Alt Winning Voter Bloc Original Winning Parties,Scottish STV - Alt Winning Voter Bloc New Winning Parties,Meek STV - Losing Voter Bloc Anomaly,Meek STV - Removed Loser Ballots,Meek STV - Losing Voter Bloc Original Winning Parties,Meek STV - Losing Voter Bloc New Winning Parties,Meek STV - Winning Voter Bloc Anomaly,Meek STV - Removed Winner Ballots,Meek STV - Winning Voter Bloc Original Winning Parties,Meek STV - Winning Voter Bloc New Winning Parties,Meek STV - Alt Winning Voter Bloc Anomaly,Meek STV - Removed Alt Winner Ballots,Meek STV - Alt Winning Voter Bloc Original Winning Parties,Meek STV - Alt Winning Voter Bloc New Winning Parties,Chamberlin-Courant (OM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Loser Ballots,Chamberlin-Courant (OM) - Losing Voter Bloc Original Winning Parties,Chamberlin-Courant (OM) - Losing Voter Bloc New Winning Parties,Chamberlin-Courant (OM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Winner Ballots,Chamberlin-Courant (OM) - Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (OM) - Winning Voter Bloc New Winning Parties,Chamberlin-Courant (OM) - Alt Winning Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Alt Winner Ballots,Chamberlin-Courant (OM) - Alt Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (OM) - Alt Winning Voter Bloc New Winning Parties,Chamberlin-Courant (PM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Loser Ballots,Chamberlin-Courant (PM) - Losing Voter Bloc Original Winning Parties,Chamberlin-Courant (PM) - Losing Voter Bloc New Winning Parties,Chamberlin-Courant (PM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Winner Ballots,Chamberlin-Courant (PM) - Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (PM) - Winning Voter Bloc New Winning Parties,Chamberlin-Courant (PM) - Alt Winning Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Alt Winner Ballots,Chamberlin-Courant (PM) - Alt Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (PM) - Alt Winning Voter Bloc New Winning Parties,Expanding Approvals - Losing Voter Bloc Anomaly,Expanding Approvals - Removed Loser Ballots,Expanding Approvals - Losing Voter Bloc Original Winning Parties,Expanding Approvals - Losing Voter Bloc New Winning Parties,Expanding Approvals - Winning Voter Bloc Anomaly,Expanding Approvals - Removed Winner Ballots,Expanding Approvals - Winning Voter Bloc Original Winning Parties,Expanding Approvals - Winning Voter Bloc New Winning Parties,Expanding Approvals - Alt Winning Voter Bloc Anomaly,Expanding Approvals - Removed Alt Winner Ballots,Expanding Approvals - Alt Winning Voter Bloc Original Winning Parties,Expanding Approvals - Alt Winning Voter Bloc New Winning Parties
aberdeenshire_2012_ward18.csv,"[1, 4, 2, 9]","{(10,): 45, (10, 5, 6): 1, (10, 6): 3, (10, 6, 5): 1, (10, 7): 2, (10, 7, 6): 1, (10, 7, 6, 5): 1, (5,): 11, (5, 6): 3, (5, 6, 10): 1, (5, 7): 1, (6,): 17, (6, 10): 1, (6, 5): 1, (6, 7): 3, (7,): 14, (7, 10): 2, (7, 10, 6): 1, (7, 10, 6, 5): 1, (7, 5, 6): 1, (7, 6): 1, (7, 6, 10, 5): 1, (7, 6, 5): 1}","['Con', 'LD', 'Lab', 'SNP']","['Con', 'Ind', 'LD', 'SNP']",,,,,,,,,"[1, 4, 2, 9]","{(10,): 45, (10, 3): 6, (10, 5, 3): 1, (10, 5, 6): 1, (10, 6): 3, (10, 6, 3): 2, (10, 6, 5): 1, (3,): 84, (3, 10): 21, (3, 10, 5): 1, (3, 10, 6): 1, (3, 5): 4, (3, 6): 6, (3, 6, 10): 3, (3, 6, 5): 1, (5,): 11, (5, 3): 5, (5, 6): 3, (5, 6, 10): 1, (6,): 17, (6, 10): 1, (6, 3): 3, (6, 3, 10): 2, (6, 5): 1}","['Con', 'Con', 'LD', 'SNP']","['Con', 'Ind', 'LD', 'SNP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeenshire_2012_ward3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeenshire_2017_ward3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 2, 4, 8]","{(4,): 346}","['Con', 'Ind', 'Ind', 'SNP']","['Con', 'Ind', 'SNP', 'SNP']","[5, 2, 4, 8]","{(4,): 346}","['Con', 'Ind', 'Ind', 'SNP']","['Con', 'Ind', 'SNP', 'SNP']"
aberdeenshire_2022_ward4.csv,"[8, 9, 5, 7]","{(10, 4, 2): 2, (2, 10, 1): 1, (4, 6, 1): 1, (4, 6): 4, (4, 10, 6): 1, (1,): 12, (4, 2, 6): 1, (2, 4): 3, (2, 6): 2, (2,): 19, (10, 6): 4, (10,): 68, (1, 2): 2, (4, 2): 1, (2, 4, 6): 1, (1, 4): 2, (6, 10, 4): 1, (4,): 42, (2, 10): 7, (6, 10): 2, (10, 4): 6, (1, 6, 10): 3, (1, 4, 10): 1, (4, 1): 4, (6, 2, 10): 2, (10, 6, 2): 1, (4, 10, 2): 1, (4, 10): 10, (10, 2): 1, (6, 4): 1, (6,): 6, (4, 1, 10): 1, (6, 2, 1): 1, (1, 10, 2): 1, (4, 2, 1): 1, (6, 1, 10): 1, (10, 1, 4): 1, (6, 2): 2, (1, 4, 2): 1, (10, 1): 4, (2, 1): 1, (10, 4, 1): 1}","['Con', 'LD', 'SNP', 'SNP']","['Con', 'Con', 'LD', 'SNP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8, 5, 9, 7]","{(5,): 42, (5, 9): 6, (9,): 69, (9, 5): 7}","['Con', 'Ind', 'LD', 'SNP']","['Con', 'Con', 'LD', 'SNP']","[8, 5, 9, 7]","{(5,): 42, (5, 9): 6, (9,): 69, (9, 5): 7}","['Con', 'Ind', 'LD', 'SNP']","['Con', 'Con', 'LD', 'SNP']"
aberdeen_2017_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_2022_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_2022_ward6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angus_2022_ward6.csv,,,,,,,,,,,,,,,,,"[2, 6, 8, 9]","{(2,): 50}","['Con', 'Ind', 'SNP', 'SNP']","['Con', 'Con', 'SNP', 'SNP']","[2, 6, 8, 9]","{(2,): 50}","['Con', 'Ind', 'SNP', 'SNP']","['Con', 'Con', 'SNP', 'SNP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argyll_bute_2012_ward5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argyll_bute_2017_ward5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
