Election,Scottish STV Winners,Adaptive Quota STV Winners,Meek STV Winners,Chamberlin-Courant Winners,Greedy Chamberlin-Courant Winners,Expanding Approvals Winners,CPO-STV Winners
aberdeenshire_2012_ward18.csv,"[1, 4, 2, 3]","[1, 4, 2, 3]","[1, 4, 2, 7]","[1, 3, 4, 6]","[1, 4, 6, 3]","[1, 4, 6, 9]","[1, 2, 4, 8]"
aberdeenshire_2012_ward3.csv,"[9, 2, 7, 10]","[9, 2, 7, 10]","[9, 2, 7, 10]","[2, 4, 7, 9]","[9, 7, 10, 2]","[9, 2, 7, 4]","[2, 7, 9, 10]"
aberdeenshire_2017_ward3.csv,"[4, 5, 2, 8]","[4, 5, 2, 8]","[4, 5, 2, 8]","[2, 4, 5, 7]","[4, 2, 5, 7]","[4, 2, 5, 7]","[2, 4, 5, 8]"
aberdeenshire_2022_ward4.csv,"[8, 9, 5, 3]","[8, 9, 5, 7]","[8, 9, 5, 7]","[5, 8, 9, 10]","[8, 5, 9, 10]","[8, 5, 9, 10]","[5, 7, 8, 9]"
aberdeen_2017_ward12.csv,"[3, 1, 2, 5]","[3, 1, 2, 5]","[3, 1, 2, 5]","[1, 2, 3, 4]","[2, 3, 1, 4]","[3, 2, 1, 5]","[1, 2, 3, 5]"
aberdeen_2022_ward12.csv,"[2, 7, 10, 4]","[2, 7, 10, 4]","[2, 7, 4, 10]","[2, 7, 9, 10]","[2, 10, 7, 9]","[2, 10, 4, 7]","[2, 4, 7, 10]"
aberdeen_2022_ward6.csv,"[6, 4, 10]","[6, 4, 10]","[6, 4, 10]","[1, 4, 6]","[6, 4, 1]","[6, 4, 10]","[4, 6, 10]"
angus_2022_ward6.csv,"[2, 6, 8, 3]","[2, 6, 8, 3]","[2, 6, 8, 3]","[2, 6, 7, 10]","[2, 6, 10, 7]","[6, 2, 8, 10]","[2, 3, 6, 8]"
argyll_bute_2012_ward5.csv,"[9, 2, 4, 3]","[9, 2, 4, 3]","[9, 2, 4, 7]","[2, 4, 9, 10]","[9, 2, 4, 10]","[9, 2, 4, 7]","[2, 4, 7, 9]"
argyll_bute_2017_ward5.csv,"[8, 4, 10, 2]","[8, 10, 2, 4]","[8, 10, 2, 4]","[2, 4, 8, 10]","[8, 4, 10, 2]","[8, 4, 2, 10]","[2, 4, 8, 10]"
argyll_bute_2017_ward7.csv,"[3, 2, 6]","[2, 3, 4]","[2, 3, 4]","[2, 3, 4]","[3, 4, 2]","[3, 2, 4]","[2, 3, 4]"
dumgal_2017_ward9.csv,"[5, 7, 1, 6]","[5, 7, 1, 9]","[5, 7, 1, 6]","[1, 5, 7, 9]","[7, 5, 1, 9]","[5, 7, 1, 6]","[1, 5, 6, 7]"
dundee_2017_ward2.csv,"[9, 10, 4, 5]","[9, 10, 4, 5]","[9, 10, 4, 5]","[1, 4, 7, 9]","[9, 4, 7, 1]","[9, 4, 10, 5]","[4, 5, 9, 10]"
dundee_2017_ward4.csv,"[2, 7, 6, 10]","[2, 7, 6, 10]","[2, 7, 6, 10]","[1, 2, 6, 9]","[2, 6, 9, 1]","[2, 6, 7, 10]","[2, 6, 7, 10]"
east_renfrewshire_2022_ward4.csv,"[3, 1, 5, 8]","[3, 1, 5, 8]","[3, 1, 5, 8]","[1, 3, 5, 8]","[3, 1, 8, 5]","[3, 1, 8, 5]","[1, 3, 5, 8]"
edinburgh_2015_by_election_leith_walk.csv,"[8, 1]","[8, 1]","[8, 1]","[1, 8]","[8, 1]","[8, 1]","[1, 8]"
edinburgh_2017_ward1.csv,"[4, 10, 2, 9]","[4, 10, 2, 9]","[4, 10, 2, 9]","[2, 4, 8, 9]","[4, 9, 2, 8]","[4, 10, 9, 2]","[2, 4, 9, 10]"
edinburgh_2017_ward12.csv,"[7, 1, 8, 5]","[7, 1, 8, 5]","[7, 1, 8, 5]","[1, 4, 5, 7]","[7, 1, 5, 4]","[5, 1, 7, 2]","[1, 5, 7, 8]"
edinburgh_2022_ward16.csv,"[1, 5, 3, 6]","[1, 5, 3, 6]","[1, 5, 3, 6]","[1, 3, 5, 9]","[1, 5, 3, 9]","[1, 5, 3, 9]","[1, 3, 5, 6]"
edinburgh_2022_ward5.csv,"[9, 6, 8, 1]","[9, 8, 6, 10]","[9, 8, 6, 10]","[6, 7, 8, 9]","[9, 8, 6, 7]","[9, 8, 6, 10]","[6, 7, 8, 9]"
eilean_siar_2012_ward7.csv,"[6, 5, 8, 3]","[6, 5, 8, 1]","[6, 5, 8, 3]","[1, 3, 5, 6]","[6, 8, 5, 1]","[6, 5, 8, 3]","[3, 5, 6, 8]"
eilean_siar_2022_ward9.csv,"[10, 4, 2, 3]","[4, 10, 2, 3]","[4, 10, 2, 3]","[2, 3, 4, 10]","[4, 10, 2, 3]","[10, 4, 2, 3]","[2, 3, 4, 10]"
falkirk_2017_ward3.csv,"[4, 3, 1, 6]","[4, 3, 1, 6]","[4, 3, 1, 7]","[1, 4, 6, 7]","[4, 1, 6, 7]","[4, 1, 3, 7]","[1, 3, 4, 7]"
fife_2012_ward14.csv,"[3, 4, 2, 6]","[3, 4, 2, 6]","[3, 4, 2, 6]","[2, 3, 5, 6]","[3, 6, 5, 2]","[3, 6, 4, 2]","[2, 3, 4, 6]"
fife_2017_ward15.csv,"[9, 5, 10]","[9, 5, 10]","[9, 5, 10]","[4, 5, 9]","[9, 5, 4]","[9, 5, 10]","[5, 9, 10]"
fife_2017_ward18.csv,"[3, 7, 10, 8]","[3, 7, 10, 8]","[3, 7, 10, 4]","[3, 7, 8, 10]","[3, 10, 7, 8]","[3, 7, 10, 4]","[3, 4, 7, 10]"
fife_2017_ward22.csv,"[6, 10, 3, 8]","[6, 8, 10, 3]","[6, 8, 10, 3]","[2, 3, 6, 8]","[6, 3, 2, 8]","[6, 3, 8, 10]","[3, 6, 8, 10]"
fife_2017_ward9.csv,"[4, 1, 3]","[4, 1, 3]","[4, 1, 3]","[1, 3, 4]","[4, 1, 3]","[4, 1, 3]","[1, 3, 4]"
fife_2022_ward1.csv,"[2, 8, 10]","[2, 8, 10]","[2, 8, 10]","[2, 8, 10]","[2, 8, 10]","[2, 8, 6]","[2, 6, 8]"
fife_2022_ward4.csv,"[3, 5, 2, 1]","[3, 5, 1, 2]","[3, 5, 1, 2]","[2, 3, 5, 8]","[5, 2, 3, 8]","[2, 5, 3, 1]","[1, 2, 3, 5]"
glasgow_2007_calton.csv,"[8, 10, 9]","[8, 10, 9]","[8, 10, 9]","[8, 9, 10]","[8, 10, 9]","[8, 10, 9]","[8, 9, 10]"
glasgow_2007_craigton.csv,"[4, 10, 5, 1]","[4, 10, 5, 1]","[4, 10, 5, 6]","[1, 4, 5, 10]","[5, 4, 10, 1]","[4, 6, 10, 1]","[4, 5, 6, 10]"
glasgow_2007_drumchapel.csv,"[1, 6, 10, 4]","[1, 6, 10, 4]","[1, 6, 10, 4]","[1, 4, 6, 10]","[1, 6, 10, 4]","[1, 6, 10, 4]","[1, 4, 6, 10]"
glasgow_2007_garscadden.csv,"[2, 5, 9, 7]","[2, 5, 9, 7]","[2, 5, 9, 7]","[2, 5, 9, 10]","[2, 5, 9, 10]","[2, 5, 9, 7]","[2, 5, 7, 9]"
glasgow_2007_hillhead.csv,"[9, 10, 3, 7]","[9, 10, 3, 7]","[9, 10, 3, 7]","[3, 7, 9, 10]","[10, 7, 9, 3]","[9, 10, 7, 3]","[3, 7, 9, 10]"
glasgow_2007_north_east.csv,"[1, 10, 3, 6]","[1, 10, 3, 6]","[1, 10, 3, 6]","[1, 2, 3, 10]","[1, 10, 3, 2]","[1, 10, 3, 6]","[1, 3, 6, 10]"
glasgow_2007_springburn.csv,"[8, 10, 4]","[8, 4, 10]","[8, 10, 4]","[4, 8, 10]","[8, 4, 10]","[8, 10, 4]","[4, 8, 10]"
glasgow_2012_ward17.csv,"[3, 9, 5]","[3, 9, 5]","[3, 9, 5]","[3, 5, 9]","[3, 5, 9]","[3, 9, 5]","[3, 5, 9]"
glasgow_2012_ward19.csv,"[2, 7, 3, 8]","[2, 7, 8, 3]","[2, 7, 8, 3]","[2, 3, 7, 9]","[2, 3, 7, 9]","[2, 7, 3, 8]","[2, 3, 7, 8]"
glasgow_2012_ward20.csv,"[2, 9, 3, 7]","[2, 9, 3, 7]","[2, 9, 3, 7]","[2, 4, 7, 9]","[2, 9, 4, 7]","[2, 9, 3, 7]","[2, 3, 7, 9]"
glasgow_2012_ward4.csv,"[1, 2, 10, 9]","[1, 2, 10, 9]","[1, 2, 10, 9]","[1, 2, 5, 10]","[2, 1, 10, 5]","[2, 10, 1, 9]","[1, 2, 9, 10]"
glasgow_2012_ward8.csv,"[5, 9, 10, 6]","[5, 9, 10, 6]","[5, 9, 10, 6]","[3, 5, 8, 9]","[9, 5, 8, 3]","[9, 5, 10, 6]","[5, 6, 9, 10]"
glasgow_2017_ward13.csv,"[2, 4, 5, 7]","[2, 4, 5, 7]","[2, 4, 5, 7]","[2, 4, 5, 8]","[4, 2, 8, 5]","[2, 4, 5, 7]","[2, 4, 5, 7]"
glasgow_2017_ward14.csv,"[1, 2, 5, 8]","[1, 2, 5, 8]","[1, 2, 5, 8]","[1, 2, 5, 6]","[2, 1, 6, 5]","[2, 1, 5, 8]","[1, 2, 5, 8]"
glasgow_2017_ward17.csv,"[1, 6, 2, 8]","[1, 6, 2, 8]","[1, 6, 8, 2]","[1, 2, 6, 7]","[6, 1, 7, 2]","[6, 1, 2, 8]","[1, 2, 6, 8]"
glasgow_2017_ward3.csv,"[1, 5, 9, 3]","[1, 5, 9, 3]","[1, 5, 9, 3]","[1, 3, 5, 8]","[5, 1, 8, 3]","[5, 1, 3, 9]","[1, 3, 5, 9]"
glasgow_2017_ward4.csv,"[2, 4, 10, 9]","[2, 4, 9, 10]","[2, 4, 9, 10]","[2, 3, 4, 9]","[2, 4, 3, 9]","[4, 2, 9, 5]","[2, 4, 9, 10]"
glasgow_2017_ward5.csv,"[6, 4, 1, 10]","[6, 4, 1, 10]","[6, 4, 1, 8]","[1, 4, 6, 7]","[4, 6, 7, 1]","[6, 4, 1, 8]","[1, 4, 6, 8]"
glasgow_2017_ward8.csv,"[6, 9, 1, 8]","[9, 8, 1, 6]","[9, 8, 1, 6]","[1, 4, 6, 9]","[6, 9, 1, 4]","[9, 6, 1, 8]","[1, 6, 8, 9]"
glasgow_2022_ward10.csv,"[2, 3, 7, 8]","[2, 3, 7, 8]","[2, 3, 7, 8]","[2, 3, 6, 7]","[2, 3, 7, 6]","[7, 3, 2, 4]","[2, 3, 7, 8]"
glasgow_2022_ward14.csv,"[1, 5, 2, 3]","[1, 5, 2, 3]","[1, 5, 2, 3]","[1, 3, 5, 9]","[1, 5, 9, 3]","[1, 5, 2, 3]","[1, 2, 3, 5]"
glasgow_2022_ward16.csv,"[1, 2, 5, 6]","[1, 2, 5, 6]","[1, 2, 5, 6]","[1, 2, 4, 10]","[2, 1, 4, 10]","[1, 2, 5, 6]","[1, 2, 5, 6]"
glasgow_2022_ward2.csv,"[1, 3, 4]","[1, 3, 4]","[1, 3, 4]","[1, 3, 8]","[1, 3, 8]","[3, 1, 2]","[1, 2, 3]"
glasgow_2022_ward6.csv,"[6, 2, 7, 4]","[6, 2, 7, 4]","[6, 2, 7, 4]","[2, 5, 6, 7]","[2, 7, 6, 5]","[6, 2, 7, 4]","[2, 4, 6, 7]"
glasgow_2022_ward8.csv,"[1, 5, 10, 9]","[5, 1, 10, 9]","[5, 1, 10, 7]","[1, 2, 5, 10]","[1, 10, 5, 2]","[1, 10, 7, 9]","[1, 5, 7, 10]"
highland_2012_ward10.csv,"[2, 9, 1, 6]","[2, 9, 1, 6]","[2, 9, 1, 6]","[1, 2, 6, 9]","[2, 1, 6, 9]","[2, 9, 1, 6]","[1, 2, 6, 9]"
highland_2012_ward9.csv,"[10, 9, 7, 8]","[10, 9, 7, 8]","[10, 9, 7, 8]","[3, 7, 9, 10]","[10, 7, 9, 3]","[10, 9, 7, 8]","[7, 8, 9, 10]"
highland_2017_ward18.csv,"[5, 6, 2, 10]","[5, 2, 6, 10]","[5, 2, 6, 10]","[2, 5, 6, 10]","[5, 6, 10, 2]","[5, 2, 6, 4]","[2, 5, 6, 10]"
highland_2022_inverness_central.csv,"[6, 2, 5]","[6, 2, 5]","[6, 2, 5]","[3, 5, 6]","[5, 6, 3]","[5, 6, 2]","[2, 5, 6]"
moray_2012_ward8.csv,"[1, 6, 3, 9]","[1, 3, 6, 9]","[1, 3, 6, 9]","[1, 3, 5, 6]","[1, 8, 9, 3]","[1, 3, 8, 9]","[1, 3, 6, 9]"
north_ayrshire_2012_ward2.csv,"[10, 3, 9, 4]","[10, 3, 9, 4]","[10, 3, 9, 4]","[2, 3, 4, 9]","[10, 4, 2, 9]","[10, 6, 3, 9]","[3, 4, 9, 10]"
north_ayrshire_2012_ward5.csv,"[6, 8, 2, 4]","[2, 4, 6, 8]","[2, 4, 6, 8]","[3, 4, 5, 6]","[4, 8, 6, 5]","[4, 8, 6, 2]","[2, 4, 6, 8]"
north_ayrshire_2022_irvine_west.csv,"[6, 3, 9, 8]","[6, 3, 9, 8]","[6, 3, 9, 8]","[3, 6, 7, 8]","[6, 7, 3, 8]","[6, 7, 9, 3]","[3, 6, 8, 9]"
north_lanarkshire_2017_ward2.csv,"[5, 1, 3, 2]","[5, 1, 2, 3]","[5, 1, 3, 2]","[2, 3, 5, 9]","[5, 3, 2, 9]","[5, 3, 1, 2]","[1, 2, 3, 5]"
renfrewshire_2017_ward4.csv,"[5, 6, 4, 7]","[5, 6, 4, 7]","[5, 6, 4, 10]","[4, 5, 6, 7]","[5, 4, 7, 6]","[5, 4, 6, 10]","[4, 5, 6, 10]"
renfrewshire_2017_ward9.csv,"[2, 9, 4, 3]","[2, 3, 9, 4]","[2, 3, 4, 9]","[2, 3, 4, 9]","[2, 9, 3, 4]","[2, 9, 3, 6]","[2, 3, 4, 9]"
south_lanarkshire_2012_ward15.csv,"[2, 8, 3, 6]","[2, 8, 3, 6]","[2, 8, 3, 6]","[2, 3, 4, 8]","[2, 8, 6, 4]","[2, 8, 3, 6]","[2, 3, 6, 8]"
stirling_2022_ward3.csv,"[3, 4, 9, 2]","[3, 4, 9, 2]","[3, 4, 9, 2]","[2, 3, 4, 9]","[9, 3, 4, 2]","[3, 4, 9, 7]","[2, 3, 4, 9]"
west_lothian_2022_ward4.csv,"[2, 7, 8, 5]","[2, 7, 8, 5]","[2, 7, 8, 10]","[2, 5, 7, 9]","[7, 2, 5, 9]","[7, 2, 8, 10]","[2, 7, 8, 10]"
west_lothian_2022_ward5.csv,"[6, 7, 2, 9]","[6, 7, 2, 9]","[6, 7, 2, 9]","[2, 6, 7, 9]","[6, 7, 2, 9]","[6, 7, 9, 2]","[2, 6, 7, 9]"
aberdeenshire_2022_ward19.csv,"[3, 9, 4, 2]","[3, 9, 4, 2]","[3, 9, 4, 2]","[3, 4, 5, 9]","[9, 3, 4, 5]","[9, 3, 4, 5]","[2, 3, 4, 9]"
aberdeen_2012_ward5.csv,"[1, 2, 4]","[1, 2, 4]","[1, 2, 4]","[1, 2, 5]","[1, 2, 5]","[1, 2, 4]","[1, 2, 4]"
aberdeen_2012_ward8.csv,"[6, 7, 8]","[6, 7, 8]","[6, 7, 8]","[2, 6, 8]","[6, 8, 2]","[6, 7, 8]","[6, 7, 8]"
argyll_bute_2022_ward4.csv,"[8, 5, 6, 4]","[8, 5, 4, 6]","[8, 5, 4, 10]","[3, 4, 6, 8]","[8, 4, 6, 3]","[8, 5, 9, 10]","[4, 5, 8, 10]"
east_renfrewshire_2017_ward4.csv,"[3, 5, 7, 4]","[3, 5, 7, 4]","[3, 5, 4, 7]","[3, 4, 5, 7]","[7, 3, 5, 4]","[7, 3, 5, 4]","[3, 4, 5, 7]"
edinburgh_2012_ward12.csv,"[1, 3, 4, 5]","[1, 3, 4, 5]","[1, 3, 4, 5]","[1, 2, 3, 4]","[1, 3, 4, 2]","[3, 1, 4, 5]","[1, 3, 4, 5]"
edinburgh_2019_by_election_leith_walk.csv,[8],[8],[8],[10],[10],[10],[8]
eilean_siar_2012_ward1.csv,"[9, 5, 10, 1]","[9, 5, 10, 1]","[9, 5, 10, 1]","[1, 5, 9, 10]","[9, 5, 10, 1]","[9, 5, 10, 1]","[1, 5, 9, 10]"
glasgow_2007_baillieston.csv,"[2, 7, 4, 8]","[2, 7, 4, 8]","[2, 7, 4, 8]","[1, 2, 4, 7]","[2, 7, 4, 1]","[7, 2, 4, 8]","[2, 4, 7, 8]"
glasgow_2007_canal.csv,"[4, 8, 6, 11]","[4, 8, 6, 11]","[4, 8, 6, 11]","[4, 6, 8, 11]","[4, 8, 11, 6]","[8, 4, 6, 11]","[4, 6, 8, 11]"
glasgow_2007_govan.csv,"[6, 4, 3, 1]","[6, 4, 3, 1]","[6, 4, 3, 1]","[1, 3, 4, 6]","[4, 6, 1, 3]","[6, 3, 4, 1]","[1, 3, 4, 6]"
glasgow_2007_linn.csv,"[7, 3, 6, 2]","[7, 3, 2, 6]","[7, 3, 2, 6]","[2, 3, 6, 7]","[3, 7, 2, 6]","[7, 6, 3, 2]","[2, 3, 6, 7]"
glasgow_2007_shettleston.csv,"[7, 8, 9, 10]","[7, 8, 9, 10]","[7, 8, 9, 10]","[7, 8, 9, 10]","[7, 8, 10, 9]","[8, 7, 10, 9]","[7, 8, 9, 10]"
glasgow_2012_ward10.csv,"[3, 9, 5, 1]","[3, 9, 5, 1]","[3, 9, 5, 1]","[1, 3, 5, 9]","[3, 5, 1, 9]","[3, 9, 5, 1]","[1, 3, 5, 9]"
glasgow_2012_ward14.csv,"[2, 1, 4, 5]","[2, 1, 4, 5]","[2, 1, 4, 5]","[1, 2, 4, 8]","[2, 1, 4, 8]","[2, 1, 4, 5]","[1, 2, 4, 5]"
glasgow_2012_ward18.csv,"[3, 4, 7, 10]","[3, 4, 7, 10]","[3, 4, 7, 10]","[1, 3, 4, 7]","[3, 4, 7, 1]","[3, 4, 7, 10]","[3, 4, 7, 10]"
glasgow_2012_ward2.csv,"[3, 5, 6]","[3, 5, 6]","[3, 5, 6]","[3, 7, 9]","[3, 7, 9]","[3, 7, 6]","[3, 5, 6]"
glasgow_2012_ward3.csv,"[2, 4, 7, 5]","[2, 4, 7, 5]","[2, 4, 7, 5]","[2, 4, 7, 11]","[2, 7, 4, 11]","[2, 7, 4, 5]","[2, 4, 5, 7]"
glasgow_2017_ward16.csv,"[2, 3, 7, 9]","[2, 3, 7, 9]","[2, 3, 7, 9]","[1, 2, 3, 5]","[2, 3, 1, 5]","[2, 3, 7, 9]","[2, 3, 7, 9]"
glasgow_2022_ward18.csv,"[5, 1, 2, 11]","[5, 1, 2, 11]","[5, 1, 2, 11]","[1, 2, 4, 5]","[5, 2, 4, 1]","[5, 2, 1, 11]","[1, 2, 5, 11]"
glasgow_2022_ward3.csv,"[1, 2, 4, 9]","[1, 2, 4, 9]","[1, 2, 4, 9]","[1, 2, 4, 11]","[1, 2, 11, 4]","[1, 2, 4, 9]","[1, 2, 4, 9]"
glasgow_2022_ward5.csv,"[1, 2, 9, 4]","[1, 2, 4, 9]","[1, 2, 4, 9]","[1, 2, 9, 11]","[2, 1, 9, 11]","[2, 1, 4, 8]","[1, 2, 4, 9]"
north_ayrshire_2012_ward3.csv,"[1, 2, 10, 9]","[1, 2, 10, 9]","[1, 2, 10, 9]","[1, 2, 3, 10]","[1, 2, 10, 3]","[2, 1, 10, 9]","[1, 2, 9, 10]"
north_ayrshire_2022_garnock_valley.csv,"[3, 7, 9, 2, 5]","[3, 7, 9, 5, 2]","[3, 7, 9, 5, 2]","[2, 3, 5, 7, 9]","[7, 3, 9, 2, 5]","[7, 9, 3, 2, 5]","[2, 3, 5, 7, 9]"
orkney_2012_ward2.csv,"[7, 8, 11, 2]","[7, 8, 11, 2]","[7, 8, 11, 2]","[2, 7, 8, 11]","[7, 8, 2, 11]","[7, 8, 11, 2]","[2, 7, 8, 11]"
renfrewshire_2022_ward4.csv,"[4, 5, 6, 10]","[4, 5, 6, 10]","[4, 5, 6, 10]","[4, 5, 6, 8]","[4, 6, 8, 5]","[4, 6, 5, 10]","[4, 5, 6, 10]"
south_lanarkshire_2012_ward5.csv,"[3, 7, 2, 1]","[3, 7, 2, 1]","[3, 7, 2, 4]","[3, 4, 5, 6]","[3, 6, 4, 5]","[3, 7, 2, 4]","[2, 3, 4, 7]"
aberdeen_2012_ward12.csv,"[1, 4, 3, 7]","[1, 3, 4, 7]","[1, 3, 4, 11]","[1, 4, 7, 10]","[1, 7, 4, 10]","[1, 7, 4, 11]","[1, 3, 4, 11]"
edinburgh_2022_ward12.csv,"[6, 9, 2, 1]","[6, 9, 2, 1]","[6, 9, 2, 1]","[1, 2, 6, 9]","[9, 2, 6, 1]","[9, 6, 2, 1]","[1, 2, 6, 9]"
glasgow_2012_ward16.csv,"[5, 6, 10, 12]","[5, 6, 10, 12]","[5, 6, 10, 9]","[2, 5, 6, 12]","[5, 6, 12, 2]","[5, 6, 10, 9]","[5, 6, 9, 10]"
