Election,Scottish STV Winners,Meek STV Winners,Chamberlin-Courant (OM) Winners,Chamberlin-Courant (PM) Winners,Expanding Approvals Winners
aberdeenshire_2012_ward18.csv,"[1, 4, 2, 3]","[1, 4, 2, 7]","[1, 3, 4, 6]","[1, 3, 4, 6]","[1, 4, 6, 9]"
aberdeenshire_2012_ward3.csv,"[9, 2, 7, 10]","[9, 2, 7, 10]","[2, 4, 7, 9]","[2, 4, 7, 9]","[9, 2, 7, 4]"
aberdeenshire_2017_ward3.csv,"[4, 5, 2, 8]","[4, 5, 2, 8]","[2, 4, 5, 7]","[2, 4, 5, 7]","[4, 2, 5, 7]"
aberdeenshire_2022_ward4.csv,"[8, 9, 5, 3]","[8, 9, 5, 7]","[5, 8, 9, 10]","[5, 8, 9, 10]","[8, 5, 9, 10]"
aberdeen_2017_ward12.csv,"[3, 1, 2, 5]","[3, 1, 2, 5]","[1, 2, 3, 4]","[1, 2, 3, 4]","[3, 2, 1, 5]"
aberdeen_2022_ward12.csv,"[2, 7, 10, 4]","[2, 7, 4, 10]","[2, 7, 9, 10]","[2, 7, 9, 10]","[2, 10, 4, 7]"
aberdeen_2022_ward6.csv,"[6, 4, 10]","[6, 4, 10]","[1, 4, 6]","[1, 4, 6]","[6, 4, 10]"
angus_2022_ward6.csv,"[2, 6, 8, 3]","[2, 6, 8, 3]","[2, 6, 7, 10]","[2, 6, 7, 10]","[6, 2, 8, 10]"
argyll_bute_2012_ward5.csv,"[9, 2, 4, 3]","[9, 2, 4, 7]","[2, 4, 9, 10]","[2, 4, 9, 10]","[9, 2, 4, 7]"
argyll_bute_2017_ward5.csv,"[8, 4, 10, 2]","[8, 10, 2, 4]","[2, 4, 8, 10]","[2, 4, 8, 10]","[8, 4, 2, 10]"
argyll_bute_2017_ward7.csv,"[4, 3, 2]","[2, 3, 4]","[2, 3, 4]","[2, 3, 4]","[3, 2, 4]"
dumgal_2017_ward9.csv,"[5, 7, 1, 6]","[5, 7, 1, 6]","[1, 5, 7, 9]","[1, 5, 7, 9]","[5, 7, 1, 6]"
dundee_2017_ward2.csv,"[9, 10, 4, 5]","[9, 10, 4, 5]","[1, 4, 7, 9]","[1, 4, 7, 9]","[9, 4, 10, 5]"
dundee_2017_ward4.csv,"[2, 7, 6, 10]","[2, 7, 6, 10]","[1, 2, 6, 9]","[1, 2, 6, 9]","[2, 6, 7, 10]"
east_renfrewshire_2022_ward4.csv,"[3, 1, 5, 8]","[3, 1, 5, 8]","[1, 3, 5, 8]","[1, 3, 5, 8]","[3, 1, 8, 5]"
edinburgh_2015_by_election_leith_walk.csv,"[8, 1]","[8, 1]","[1, 8]","[1, 8]","[8, 1]"
edinburgh_2017_ward1.csv,"[4, 10, 2, 9]","[4, 10, 2, 9]","[2, 4, 8, 9]","[2, 4, 8, 9]","[4, 10, 9, 2]"
edinburgh_2017_ward12.csv,"[7, 1, 8, 5]","[7, 1, 8, 5]","[1, 4, 5, 7]","[1, 4, 5, 7]","[5, 1, 7, 2]"
edinburgh_2022_ward16.csv,"[1, 5, 3, 6]","[1, 5, 3, 6]","[1, 3, 5, 9]","[1, 3, 5, 9]","[1, 5, 3, 9]"
edinburgh_2022_ward5.csv,"[9, 6, 8, 1]","[9, 8, 6, 10]","[6, 7, 8, 9]","[6, 7, 8, 9]","[9, 8, 6, 10]"
eilean_siar_2012_ward7.csv,"[6, 5, 8, 3]","[6, 5, 8, 3]","[1, 3, 5, 6]","[1, 3, 5, 6]","[6, 5, 8, 3]"
eilean_siar_2022_ward9.csv,"[4, 10, 2, 3]","[4, 10, 2, 3]","[2, 3, 4, 10]","[2, 3, 4, 10]","[10, 4, 2, 3]"
falkirk_2017_ward3.csv,"[4, 3, 1, 6]","[4, 3, 1, 7]","[1, 4, 6, 7]","[1, 4, 6, 7]","[4, 1, 3, 7]"
fife_2012_ward14.csv,"[3, 4, 2, 6]","[3, 4, 2, 6]","[2, 3, 5, 6]","[2, 3, 5, 6]","[3, 6, 4, 2]"
fife_2017_ward15.csv,"[9, 5, 10]","[9, 5, 10]","[4, 5, 9]","[4, 5, 9]","[9, 5, 10]"
fife_2017_ward18.csv,"[3, 7, 10, 8]","[3, 7, 10, 4]","[3, 7, 8, 10]","[3, 7, 8, 10]","[3, 7, 10, 4]"
fife_2017_ward22.csv,"[6, 10, 3, 8]","[6, 8, 10, 3]","[2, 3, 6, 8]","[2, 3, 6, 8]","[6, 3, 8, 10]"
fife_2017_ward9.csv,"[4, 1, 3]","[4, 1, 3]","[1, 3, 4]","[1, 3, 4]","[4, 1, 3]"
fife_2022_ward1.csv,"[2, 8, 10]","[2, 8, 10]","[2, 8, 10]","[2, 8, 10]","[2, 8, 6]"
fife_2022_ward4.csv,"[3, 5, 2, 1]","[3, 5, 1, 2]","[2, 3, 5, 8]","[2, 3, 5, 8]","[2, 5, 3, 1]"
glasgow_2007_calton.csv,"[8, 10, 9]","[8, 10, 9]","[8, 9, 10]","[8, 9, 10]","[8, 10, 9]"
glasgow_2007_craigton.csv,"[4, 10, 5, 1]","[4, 10, 5, 6]","[1, 4, 5, 10]","[1, 4, 5, 10]","[4, 6, 10, 1]"
glasgow_2007_drumchapel.csv,"[1, 6, 10, 4]","[1, 6, 10, 4]","[1, 4, 6, 10]","[1, 4, 6, 10]","[1, 6, 10, 4]"
glasgow_2007_garscadden.csv,"[2, 5, 9, 7]","[2, 5, 9, 7]","[2, 5, 9, 10]","[2, 5, 9, 10]","[2, 5, 9, 7]"
